Month End Date,Monthly Total (NAV) Return
"Jul 31, 2000",--
"Aug 31, 2000",10.49
"Sep 30, 2000",-5.00
"Oct 31, 2000",-8.09
"Nov 30, 2000",-18.18
"Dec 31, 2000",6.08
"Jan 31, 2001",8.10
"Feb 28, 2001",-13.71
"Mar 31, 2001",-9.10
"Apr 30, 2001",12.22
"May 31, 2001",2.29
"Jun 30, 2001",2.59
"Jul 31, 2001",-8.53
"Aug 31, 2001",-6.31
"Sep 30, 2001",-16.15
"Oct 31, 2001",9.32
"Nov 30, 2001",8.34
"Dec 31, 2001",6.11
"Jan 31, 2002",-3.57
"Feb 28, 2002",-6.47
"Mar 31, 2002",8.68
"Apr 30, 2002",-2.19
"May 31, 2002",-5.84
"Jun 30, 2002",-8.47
"Jul 31, 2002",-15.29
"Aug 31, 2002",-0.07
"Sep 30, 2002",-7.23
"Oct 31, 2002",5.02
"Nov 30, 2002",9.89
"Dec 31, 2002",-6.90
"Jan 31, 2003",-2.74
"Feb 28, 2003",-2.66
"Mar 31, 2003",1.50
"Apr 30, 2003",9.44
"May 31, 2003",11.23
"Jun 30, 2003",1.92
"Jul 31, 2003",7.53
"Aug 31, 2003",5.35
"Sep 30, 2003",-2.56
"Oct 31, 2003",8.62
"Nov 30, 2003",3.25
"Dec 31, 2003",0.41
"Jan 31, 2004",5.25
"Feb 29, 2004",-0.18
"Mar 31, 2004",0.46
"Apr 30, 2004",-5.02
"May 31, 2004",1.97
"Jun 30, 2004",3.35
"Jul 31, 2004",-9.00
"Aug 31, 2004",-2.14
"Sep 30, 2004",5.51
"Oct 31, 2004",2.38
"Nov 30, 2004",8.43
"Dec 31, 2004",3.57
"Jan 31, 2005",-4.52
"Feb 28, 2005",1.35
"Mar 31, 2005",-3.73
"Apr 30, 2005",-6.39
"May 31, 2005",7.03
"Jun 30, 2005",3.27
"Jul 31, 2005",6.97
"Aug 31, 2005",-1.41
"Sep 30, 2005",0.78
"Oct 31, 2005",-3.72
"Nov 30, 2005",5.64
"Dec 31, 2005",-0.16
"Jan 31, 2006",9.63
"Feb 28, 2006",-0.53
"Mar 31, 2006",4.84
"Apr 30, 2006",-0.30
"May 31, 2006",-7.05
"Jun 30, 2006",0.02
"Jul 31, 2006",-5.22
"Aug 31, 2006",2.92
"Sep 30, 2006",0.68
"Oct 31, 2006",6.45
"Nov 30, 2006",2.39
"Dec 31, 2006",-0.26
"Jan 31, 2007",1.85
"Feb 28, 2007",-0.33
"Mar 31, 2007",0.92
"Apr 30, 2007",2.60
"May 31, 2007",4.54
"Jun 30, 2007",-0.58
"Jul 31, 2007",-5.19
"Aug 31, 2007",2.51
"Sep 30, 2007",2.90
"Oct 31, 2007",4.48
"Nov 30, 2007",-6.90
"Dec 31, 2007",0.60
"Jan 31, 2008",-9.17
"Feb 29, 2008",-3.46
"Mar 31, 2008",-0.59
"Apr 30, 2008",5.12
"May 31, 2008",5.70
"Jun 30, 2008",-5.97
"Jul 31, 2008",2.32
"Aug 31, 2008",2.47
"Sep 30, 2008",-11.27
"Oct 31, 2008",-21.67
"Nov 30, 2008",-12.07
"Dec 31, 2008",5.51
"Jan 31, 2009",-7.60
"Feb 28, 2009",-10.34
"Mar 31, 2009",8.96
"Apr 30, 2009",15.03
"May 31, 2009",3.85
"Jun 30, 2009",3.26
"Jul 31, 2009",7.75
"Aug 31, 2009",0.97
"Sep 30, 2009",6.54
"Oct 31, 2009",-6.94
"Nov 30, 2009",3.09
"Dec 31, 2009",8.54
"Jan 31, 2010",-4.47
"Feb 28, 2010",4.37
"Mar 31, 2010",7.93
"Apr 30, 2010",4.20
"May 31, 2010",-6.61
"Jun 30, 2010",-6.69
"Jul 31, 2010",6.62
"Aug 31, 2010",-7.30
"Sep 30, 2010",14.16
"Oct 31, 2010",4.30
"Nov 30, 2010",4.34
"Dec 31, 2010",7.57
"Jan 31, 2011",-0.57
"Feb 28, 2011",5.88
"Mar 31, 2011",3.75
"Apr 30, 2011",3.60
"May 31, 2011",-1.97
"Jun 30, 2011",-2.14
"Jul 31, 2011",-3.92
"Aug 31, 2011",-8.54
"Sep 30, 2011",-11.47
"Oct 31, 2011",15.87
"Nov 30, 2011",-0.52
"Dec 31, 2011",-0.22
"Jan 31, 2012",7.48
"Feb 29, 2012",3.30
"Mar 31, 2012",2.03
"Apr 30, 2012",-1.65
"May 31, 2012",-7.10
"Jun 30, 2012",5.17
"Jul 31, 2012",-1.71
"Aug 31, 2012",3.62
"Sep 30, 2012",3.01
"Oct 31, 2012",-3.09
"Nov 30, 2012",0.78
"Dec 31, 2012",2.89
"Jan 31, 2013",6.58
"Feb 28, 2013",1.08
"Mar 31, 2013",5.10
"Apr 30, 2013",-0.64
"May 31, 2013",5.08
"Jun 30, 2013",-0.61
"Jul 31, 2013",7.57
"Aug 31, 2013",-1.94
"Sep 30, 2013",6.96
"Oct 31, 2013",1.85
"Nov 30, 2013",4.10
"Dec 31, 2013",2.06
"Jan 31, 2014",-1.72
"Feb 28, 2014",4.82
"Mar 31, 2014",-2.46
"Apr 30, 2014",-5.13
"May 31, 2014",0.96
"Jun 30, 2014",6.20
"Jul 31, 2014",-6.04
"Aug 31, 2014",5.58
"Sep 30, 2014",-5.32
"Oct 31, 2014",6.22
"Nov 30, 2014",0.65
"Dec 31, 2014",2.99
"Jan 31, 2015",-2.25
"Feb 28, 2015",7.21
"Mar 31, 2015",1.80
"Apr 30, 2015",-2.95
"May 31, 2015",3.69
"Jun 30, 2015",1.36
"Jul 31, 2015",0.42
"Aug 31, 2015",-7.58
"Sep 30, 2015",-6.28
"Oct 31, 2015",5.69
"Nov 30, 2015",3.71
"Dec 31, 2015",-4.76
"Jan 31, 2016",-10.81
"Feb 29, 2016",-0.69
"Mar 31, 2016",7.68
"Apr 30, 2016",1.01
"May 31, 2016",2.71
"Jun 30, 2016",-0.46
"Jul 31, 2016",6.55
"Aug 31, 2016",1.07
"Sep 30, 2016",1.44
"Oct 31, 2016",-6.19
"Nov 30, 2016",8.96
"Dec 31, 2016",1.36
"Jan 31, 2017",1.64
"Feb 28, 2017",2.45
"Mar 31, 2017",1.20
"Apr 30, 2017",1.85
"May 31, 2017",-0.89
"Jun 30, 2017",3.43
"Jul 31, 2017",0.86
"Aug 31, 2017",-0.11
"Sep 30, 2017",5.45
"Oct 31, 2017",1.55
"Nov 30, 2017",2.87
"Dec 31, 2017",0.11
"Jan 31, 2018",3.90
"Feb 28, 2018",-2.85
"Mar 31, 2018",1.35
"Apr 30, 2018",0.10
"May 31, 2018",6.29
"Jun 30, 2018",0.76
"Jul 31, 2018",1.73
"Aug 31, 2018",6.23
"Sep 30, 2018",-2.34
"Oct 31, 2018",-12.66
"Nov 30, 2018",1.55
"Dec 31, 2018",-11.69
"Jan 31, 2019",11.54
"Feb 28, 2019",6.45
"Mar 31, 2019",-1.36
"Apr 30, 2019",3.04
"May 31, 2019",-7.42
"Jun 30, 2019",7.70
"Jul 31, 2019",0.98
"Aug 31, 2019",-4.32
"Sep 30, 2019",-0.81
"Oct 31, 2019",2.85
"Nov 30, 2019",5.89
"Dec 31, 2019",2.29
"Jan 31, 2020",-1.10
"Feb 29, 2020",-7.23
"Mar 31, 2020",-19.12
"Apr 30, 2020",14.92
"May 31, 2020",9.46
"Jun 30, 2020",3.81
"Jul 31, 2020",3.43
"Aug 31, 2020",5.86
"Sep 30, 2020",-2.15
"Oct 31, 2020",0.76
"Nov 30, 2020",17.62
