Month End Date,Monthly Total (NAV) Return
"Jul 31, 2000",--
"Aug 31, 2000",4.41
"Sep 30, 2000",-0.68
"Oct 31, 2000",-0.28
"Nov 30, 2000",-2.07
"Dec 31, 2000",10.71
"Jan 31, 2001",2.75
"Feb 28, 2001",-0.15
"Mar 31, 2001",-1.62
"Apr 30, 2001",4.58
"May 31, 2001",2.53
"Jun 30, 2001",4.04
"Jul 31, 2001",-2.33
"Aug 31, 2001",-0.36
"Sep 30, 2001",-11.04
"Oct 31, 2001",2.36
"Nov 30, 2001",7.15
"Dec 31, 2001",6.08
"Jan 31, 2002",1.30
"Feb 28, 2002",0.60
"Mar 31, 2002",7.45
"Apr 30, 2002",3.48
"May 31, 2002",-3.31
"Jun 30, 2002",-2.25
"Jul 31, 2002",-14.74
"Aug 31, 2002",-0.48
"Sep 30, 2002",-7.16
"Oct 31, 2002",1.49
"Nov 30, 2002",7.94
"Dec 31, 2002",-4.29
"Jan 31, 2003",-2.83
"Feb 28, 2003",-3.38
"Mar 31, 2003",1.04
"Apr 30, 2003",9.47
"May 31, 2003",10.17
"Jun 30, 2003",1.67
"Jul 31, 2003",4.95
"Aug 31, 2003",3.79
"Sep 30, 2003",-1.17
"Oct 31, 2003",8.13
"Nov 30, 2003",3.81
"Dec 31, 2003",3.59
"Jan 31, 2004",3.44
"Feb 29, 2004",1.92
"Mar 31, 2004",1.37
"Apr 30, 2004",-5.16
"May 31, 2004",1.19
"Jun 30, 2004",5.10
"Jul 31, 2004",-4.59
"Aug 31, 2004",0.97
"Sep 30, 2004",3.94
"Oct 31, 2004",1.51
"Nov 30, 2004",8.86
"Dec 31, 2004",2.36
"Jan 31, 2005",-3.87
"Feb 28, 2005",1.96
"Mar 31, 2005",-2.08
"Apr 30, 2005",-5.16
"May 31, 2005",6.07
"Jun 30, 2005",4.39
"Jul 31, 2005",5.67
"Aug 31, 2005",-2.31
"Sep 30, 2005",-0.18
"Oct 31, 2005",-2.53
"Nov 30, 2005",4.04
"Dec 31, 2005",-0.78
"Jan 31, 2006",8.25
"Feb 28, 2006",-0.03
"Mar 31, 2006",4.81
"Apr 30, 2006",0.27
"May 31, 2006",-4.17
"Jun 30, 2006",1.21
"Jul 31, 2006",-1.41
"Aug 31, 2006",2.97
"Sep 30, 2006",0.97
"Oct 31, 2006",5.06
"Nov 30, 2006",2.84
"Dec 31, 2006",0.86
"Jan 31, 2007",1.47
"Feb 28, 2007",-1.24
"Mar 31, 2007",1.17
"Apr 30, 2007",1.01
"May 31, 2007",3.66
"Jun 30, 2007",-2.34
"Jul 31, 2007",-8.50
"Aug 31, 2007",1.98
"Sep 30, 2007",0.43
"Oct 31, 2007",1.08
"Nov 30, 2007",-7.49
"Dec 31, 2007",-0.84
"Jan 31, 2008",-4.08
"Feb 29, 2008",-3.99
"Mar 31, 2008",1.52
"Apr 30, 2008",3.15
"May 31, 2008",3.41
"Jun 30, 2008",-9.57
"Jul 31, 2008",5.13
"Aug 31, 2008",4.73
"Sep 30, 2008",-4.68
"Oct 31, 2008",-19.89
"Nov 30, 2008",-11.56
"Dec 31, 2008",6.28
"Jan 31, 2009",-14.26
"Feb 28, 2009",-13.84
"Mar 31, 2009",8.84
"Apr 30, 2009",15.83
"May 31, 2009",2.16
"Jun 30, 2009",-0.32
"Jul 31, 2009",11.54
"Aug 31, 2009",4.69
"Sep 30, 2009",4.98
"Oct 31, 2009",-6.65
"Nov 30, 2009",3.14
"Dec 31, 2009",7.56
"Jan 31, 2010",-2.94
"Feb 28, 2010",4.62
"Mar 31, 2010",8.29
"Apr 30, 2010",6.95
"May 31, 2010",-8.43
"Jun 30, 2010",-8.72
"Jul 31, 2010",7.10
"Aug 31, 2010",-7.52
"Sep 30, 2010",10.74
"Oct 31, 2010",3.86
"Nov 30, 2010",2.53
"Dec 31, 2010",8.27
"Jan 31, 2011",0.05
"Feb 28, 2011",5.05
"Mar 31, 2011",1.37
"Apr 30, 2011",1.62
"May 31, 2011",-1.80
"Jun 30, 2011",-2.46
"Jul 31, 2011",-3.32
"Aug 31, 2011",-8.85
"Sep 30, 2011",-10.89
"Oct 31, 2011",14.31
"Nov 30, 2011",-0.17
"Dec 31, 2011",1.54
"Jan 31, 2012",6.63
"Feb 29, 2012",1.47
"Mar 31, 2012",3.09
"Apr 30, 2012",-1.45
"May 31, 2012",-6.10
"Jun 30, 2012",4.79
"Jul 31, 2012",-1.00
"Aug 31, 2012",3.07
"Sep 30, 2012",3.55
"Oct 31, 2012",-1.26
"Nov 30, 2012",0.29
"Dec 31, 2012",4.17
"Jan 31, 2013",5.93
"Feb 28, 2013",1.14
"Mar 31, 2013",4.15
"Apr 30, 2013",-0.11
"May 31, 2013",2.97
"Jun 30, 2013",-0.42
"Jul 31, 2013",6.42
"Aug 31, 2013",-4.43
"Sep 30, 2013",5.76
"Oct 31, 2013",3.23
"Nov 30, 2013",3.88
"Dec 31, 2013",1.87
"Jan 31, 2014",-3.87
"Feb 28, 2014",4.56
"Mar 31, 2014",1.23
"Apr 30, 2014",-2.58
"May 31, 2014",0.63
"Jun 30, 2014",4.41
"Jul 31, 2014",-6.04
"Aug 31, 2014",4.33
"Sep 30, 2014",-6.74
"Oct 31, 2014",6.96
"Nov 30, 2014",-0.48
"Dec 31, 2014",2.74
