Month End Date,Monthly Total (NAV) Return
"May 31, 2000",--
"Jun 30, 2000",2.90
"Jul 31, 2000",-1.82
"Aug 31, 2000",7.46
"Sep 30, 2000",-4.59
"Oct 31, 2000",-1.38
"Nov 30, 2000",-9.21
"Dec 31, 2000",1.64
"Jan 31, 2001",3.42
"Feb 28, 2001",-9.15
"Mar 31, 2001",-6.50
"Apr 30, 2001",7.99
"May 31, 2001",0.78
"Jun 30, 2001",-1.87
"Jul 31, 2001",-1.66
"Aug 31, 2001",-5.92
"Sep 30, 2001",-8.80
"Oct 31, 2001",2.08
"Nov 30, 2001",7.67
"Dec 31, 2001",1.39
"Jan 31, 2002",-1.26
"Feb 28, 2002",-2.06
"Mar 31, 2002",4.36
"Apr 30, 2002",-5.24
"May 31, 2002",-1.16
"Jun 30, 2002",-7.21
"Jul 31, 2002",-7.90
"Aug 31, 2002",0.43
"Sep 30, 2002",-10.50
"Oct 31, 2002",7.93
"Nov 30, 2002",6.00
"Dec 31, 2002",-5.66
"Jan 31, 2003",-2.45
"Feb 28, 2003",-1.66
"Mar 31, 2003",1.04
"Apr 30, 2003",8.13
"May 31, 2003",6.01
"Jun 30, 2003",1.35
"Jul 31, 2003",2.27
"Aug 31, 2003",2.20
"Sep 30, 2003",-1.10
"Oct 31, 2003",6.02
"Nov 30, 2003",1.35
"Dec 31, 2003",4.56
"Jan 31, 2004",2.06
"Feb 29, 2004",1.32
"Mar 31, 2004",-1.20
"Apr 30, 2004",-2.06
"May 31, 2004",1.43
"Jun 30, 2004",1.97
"Jul 31, 2004",-3.77
"Aug 31, 2004",0.40
"Sep 30, 2004",1.51
"Oct 31, 2004",1.63
"Nov 30, 2004",4.62
"Dec 31, 2004",3.55
"Jan 31, 2005",-2.67
"Feb 28, 2005",2.19
"Mar 31, 2005",-1.69
"Apr 30, 2005",-2.18
"May 31, 2005",3.77
"Jun 30, 2005",0.71
"Jul 31, 2005",4.07
"Aug 31, 2005",-0.96
"Sep 30, 2005",0.86
"Oct 31, 2005",-1.88
"Nov 30, 2005",3.87
"Dec 31, 2005",0.07
"Jan 31, 2006",3.32
"Feb 28, 2006",0.18
"Mar 31, 2006",1.71
"Apr 30, 2006",1.07
"May 31, 2006",-3.22
"Jun 30, 2006",0.17
"Jul 31, 2006",-0.10
"Aug 31, 2006",2.43
"Sep 30, 2006",2.22
"Oct 31, 2006",3.58
"Nov 30, 2006",2.15
"Dec 31, 2006",1.21
"Jan 31, 2007",1.90
"Feb 28, 2007",-1.65
"Mar 31, 2007",1.02
"Apr 30, 2007",3.98
"May 31, 2007",3.63
"Jun 30, 2007",-1.89
"Jul 31, 2007",-3.40
"Aug 31, 2007",1.43
"Sep 30, 2007",3.63
"Oct 31, 2007",1.82
"Nov 30, 2007",-4.50
"Dec 31, 2007",-0.62
"Jan 31, 2008",-6.06
"Feb 29, 2008",-3.11
"Mar 31, 2008",-0.62
"Apr 30, 2008",4.98
"May 31, 2008",2.04
"Jun 30, 2008",-8.25
"Jul 31, 2008",-0.80
"Aug 31, 2008",1.54
"Sep 30, 2008",-9.37
"Oct 31, 2008",-17.69
"Nov 30, 2008",-7.88
"Dec 31, 2008",1.89
"Jan 31, 2009",-8.36
"Feb 28, 2009",-10.44
"Mar 31, 2009",8.72
"Apr 30, 2009",10.50
"May 31, 2009",5.32
"Jun 30, 2009",0.33
"Jul 31, 2009",7.77
"Aug 31, 2009",3.55
"Sep 30, 2009",4.18
"Oct 31, 2009",-2.58
"Nov 30, 2009",5.66
"Dec 31, 2009",2.83
"Jan 31, 2010",-3.61
"Feb 28, 2010",3.38
"Mar 31, 2010",6.26
"Apr 30, 2010",2.15
"May 31, 2010",-7.90
"Jun 30, 2010",-5.73
"Jul 31, 2010",6.91
"Aug 31, 2010",-4.69
"Sep 30, 2010",9.41
"Oct 31, 2010",3.88
"Nov 30, 2010",0.57
"Dec 31, 2010",6.73
"Jan 31, 2011",2.18
"Feb 28, 2011",3.62
"Mar 31, 2011",0.43
"Apr 30, 2011",2.96
"May 31, 2011",-1.16
"Jun 30, 2011",-1.80
"Jul 31, 2011",-2.30
"Aug 31, 2011",-6.01
"Sep 30, 2011",-7.76
"Oct 31, 2011",11.47
"Nov 30, 2011",-0.28
"Dec 31, 2011",0.81
"Jan 31, 2012",5.03
"Feb 29, 2012",4.21
"Mar 31, 2012",3.07
"Apr 30, 2012",-0.66
"May 31, 2012",-6.18
"Jun 30, 2012",3.90
"Jul 31, 2012",0.97
"Aug 31, 2012",2.49
"Sep 30, 2012",2.60
"Oct 31, 2012",-1.74
"Nov 30, 2012",0.75
"Dec 31, 2012",1.22
"Jan 31, 2013",5.45
"Feb 28, 2013",1.32
"Mar 31, 2013",3.89
"Apr 30, 2013",1.63
"May 31, 2013",2.34
"Jun 30, 2013",-1.31
"Jul 31, 2013",5.45
"Aug 31, 2013",-2.79
"Sep 30, 2013",3.69
"Oct 31, 2013",4.23
"Nov 30, 2013",2.89
"Dec 31, 2013",2.62
"Jan 31, 2014",-3.17
"Feb 28, 2014",4.72
"Mar 31, 2014",0.51
"Apr 30, 2014",0.11
"May 31, 2014",2.17
"Jun 30, 2014",2.49
"Jul 31, 2014",-1.98
"Aug 31, 2014",4.18
"Sep 30, 2014",-2.09
"Oct 31, 2014",2.72
"Nov 30, 2014",2.42
"Dec 31, 2014",-0.01
"Jan 31, 2015",-2.80
"Feb 28, 2015",5.78
"Mar 31, 2015",-1.03
"Apr 30, 2015",0.44
"May 31, 2015",1.37
"Jun 30, 2015",-1.69
"Jul 31, 2015",1.68
"Aug 31, 2015",-6.05
"Sep 30, 2015",-2.93
"Oct 31, 2015",7.89
"Nov 30, 2015",0.55
"Dec 31, 2015",-2.06
"Jan 31, 2016",-5.65
"Feb 29, 2016",-0.04
"Mar 31, 2016",7.02
"Apr 30, 2016",0.60
"May 31, 2016",1.77
"Jun 30, 2016",0.19
"Jul 31, 2016",3.95
"Aug 31, 2016",0.24
"Sep 30, 2016",0.15
"Oct 31, 2016",-2.18
"Nov 30, 2016",4.46
"Dec 31, 2016",1.94
"Jan 31, 2017",1.87
"Feb 28, 2017",3.70
"Mar 31, 2017",0.05
"Apr 30, 2017",1.05
"May 31, 2017",1.01
"Jun 30, 2017",0.89
"Jul 31, 2017",1.87
"Aug 31, 2017",0.18
"Sep 30, 2017",2.43
"Oct 31, 2017",2.16
"Nov 30, 2017",3.02
"Dec 31, 2017",0.99
"Jan 31, 2018",5.25
"Feb 28, 2018",-3.70
"Mar 31, 2018",-2.02
"Apr 30, 2018",0.37
"May 31, 2018",2.80
"Jun 30, 2018",0.64
"Jul 31, 2018",3.31
"Aug 31, 2018",3.49
"Sep 30, 2018",0.15
"Oct 31, 2018",-7.38
"Nov 30, 2018",1.99
"Dec 31, 2018",-9.30
"Jan 31, 2019",8.56
"Feb 28, 2019",3.50
"Mar 31, 2019",1.45
"Apr 30, 2019",3.98
"May 31, 2019",-6.48
"Jun 30, 2019",7.01
"Jul 31, 2019",1.48
"Aug 31, 2019",-2.06
"Sep 30, 2019",1.74
"Oct 31, 2019",2.14
"Nov 30, 2019",3.78
"Dec 31, 2019",2.87
"Jan 31, 2020",-0.13
"Feb 29, 2020",-8.20
"Mar 31, 2020",-13.76
"Apr 30, 2020",13.23
"May 31, 2020",5.33
"Jun 30, 2020",2.27
"Jul 31, 2020",5.66
"Aug 31, 2020",7.23
"Sep 30, 2020",-3.66
"Oct 31, 2020",-2.16
"Nov 30, 2020",12.14
"Dec 31, 2020",4.47
"Jan 31, 2021",-0.47
"Feb 28, 2021",3.11
"Mar 31, 2021",3.58
"Apr 30, 2021",5.14
"May 31, 2021",0.45
"Jun 30, 2021",2.44
"Jul 31, 2021",1.68
"Aug 31, 2021",2.83
"Sep 30, 2021",-4.50
"Oct 31, 2021",6.74
"Nov 30, 2021",-1.53
"Dec 31, 2021",3.93
"Jan 31, 2022",-5.89
"Feb 28, 2022",-2.53
"Mar 31, 2022",3.23
"Apr 30, 2022",-8.98
"May 31, 2022",-0.15
"Jun 30, 2022",-8.38
"Jul 31, 2022",9.37
"Aug 31, 2022",-3.75
"Sep 30, 2022",-9.28
"Oct 31, 2022",8.18
"Nov 30, 2022",5.21
"Dec 31, 2022",-5.87
"Jan 31, 2023",6.87
"Feb 28, 2023",-2.35
"Mar 31, 2023",2.67
"Apr 30, 2023",1.05
"May 31, 2023",0.37
"Jun 30, 2023",6.81
"Jul 31, 2023",3.57
"Aug 31, 2023",-1.93
"Sep 30, 2023",-4.77
"Oct 31, 2023",-2.67
"Nov 30, 2023",9.33
"Dec 31, 2023",5.29
"Jan 31, 2024",1.10
"Feb 29, 2024",5.40
"Mar 31, 2024",3.21
