Month End Date,Monthly Total (NAV) Return
"Aug 31, 2005",--
"Sep 30, 2005",0.24
"Oct 31, 2005",-3.26
"Nov 30, 2005",4.45
"Dec 31, 2005",0.01
"Jan 31, 2006",9.29
"Feb 28, 2006",-0.05
"Mar 31, 2006",4.41
"Apr 30, 2006",-0.72
"May 31, 2006",-6.20
"Jun 30, 2006",-0.59
"Jul 31, 2006",-3.75
"Aug 31, 2006",2.67
"Sep 30, 2006",0.16
"Oct 31, 2006",5.99
"Nov 30, 2006",2.06
"Dec 31, 2006",1.50
"Jan 31, 2007",1.16
"Feb 28, 2007",-1.12
"Mar 31, 2007",0.60
"Apr 30, 2007",1.16
"May 31, 2007",2.96
"Jun 30, 2007",-0.91
"Jul 31, 2007",-7.21
"Aug 31, 2007",1.19
"Sep 30, 2007",1.58
"Oct 31, 2007",1.14
"Nov 30, 2007",-8.60
"Dec 31, 2007",-0.37
"Jan 31, 2008",-7.86
"Feb 29, 2008",-3.75
"Mar 31, 2008",-0.90
"Apr 30, 2008",1.78
"May 31, 2008",3.82
"Jun 30, 2008",-9.45
"Jul 31, 2008",5.07
"Aug 31, 2008",2.72
"Sep 30, 2008",-7.20
"Oct 31, 2008",-20.90
"Nov 30, 2008",-13.38
"Dec 31, 2008",4.63
"Jan 31, 2009",-10.86
"Feb 28, 2009",-13.42
"Mar 31, 2009",8.85
"Apr 30, 2009",15.68
"May 31, 2009",4.10
"Jun 30, 2009",2.88
"Jul 31, 2009",9.83
"Aug 31, 2009",3.36
"Sep 30, 2009",6.21
"Oct 31, 2009",-9.32
"Nov 30, 2009",1.51
"Dec 31, 2009",8.06
"Jan 31, 2010",-3.06
"Feb 28, 2010",4.82
"Mar 31, 2010",8.21
"Apr 30, 2010",8.48
"May 31, 2010",-8.44
"Jun 30, 2010",-8.31
"Jul 31, 2010",5.70
"Aug 31, 2010",-8.93
"Sep 30, 2010",12.03
"Oct 31, 2010",5.59
"Nov 30, 2010",3.47
"Dec 31, 2010",9.19
"Jan 31, 2011",-1.18
"Feb 28, 2011",5.06
"Mar 31, 2011",2.70
"Apr 30, 2011",1.52
"May 31, 2011",-2.22
"Jun 30, 2011",-2.89
"Jul 31, 2011",-2.90
"Aug 31, 2011",-10.50
"Sep 30, 2011",-11.08
"Oct 31, 2011",13.44
"Nov 30, 2011",-0.96
"Dec 31, 2011",1.39
"Jan 31, 2012",8.46
"Feb 29, 2012",2.08
"Mar 31, 2012",4.01
"Apr 30, 2012",-1.54
"May 31, 2012",-6.61
"Jun 30, 2012",6.53
"Jul 31, 2012",-1.58
"Aug 31, 2012",2.49
"Sep 30, 2012",4.96
"Oct 31, 2012",-3.14
"Nov 30, 2012",-0.06
"Dec 31, 2012",3.29
"Jan 31, 2013",5.88
"Feb 28, 2013",0.67
"Mar 31, 2013",5.48
"Apr 30, 2013",-0.07
"May 31, 2013",4.41
"Jun 30, 2013",0.65
"Jul 31, 2013",7.69
"Aug 31, 2013",-2.90
"Sep 30, 2013",6.79
"Oct 31, 2013",1.72
"Nov 30, 2013",6.11
"Dec 31, 2013",2.15
"Jan 31, 2014",-0.64
"Feb 28, 2014",4.57
"Mar 31, 2014",-0.99
"Apr 30, 2014",-5.94
"May 31, 2014",-0.26
"Jun 30, 2014",4.99
"Jul 31, 2014",-6.73
"Aug 31, 2014",4.58
"Sep 30, 2014",-5.87
"Oct 31, 2014",6.38
"Nov 30, 2014",-0.47
"Dec 31, 2014",5.10
"Jan 31, 2015",-4.14
"Feb 28, 2015",5.36
"Mar 31, 2015",2.20
"Apr 30, 2015",-2.38
"May 31, 2015",3.00
"Jun 30, 2015",2.17
"Jul 31, 2015",-3.22
"Aug 31, 2015",-5.40
"Sep 30, 2015",-5.81
"Oct 31, 2015",5.47
"Nov 30, 2015",3.87
"Dec 31, 2015",-5.21
"Jan 31, 2016",-10.35
"Feb 29, 2016",-1.47
"Mar 31, 2016",7.09
"Apr 30, 2016",3.28
"May 31, 2016",1.31
"Jun 30, 2016",-0.62
"Jul 31, 2016",5.28
"Aug 31, 2016",2.66
"Sep 30, 2016",2.94
"Oct 31, 2016",-5.71
"Nov 30, 2016",11.68
"Dec 31, 2016",4.59
"Jan 31, 2017",-1.63
"Feb 28, 2017",0.98
"Mar 31, 2017",0.81
"Apr 30, 2017",1.11
"May 31, 2017",-2.32
"Jun 30, 2017",5.14
"Jul 31, 2017",-0.54
"Aug 31, 2017",-0.86
"Sep 30, 2017",8.20
"Oct 31, 2017",-0.19
"Nov 30, 2017",2.38
"Dec 31, 2017",-0.55
"Jan 31, 2018",2.51
"Feb 28, 2018",-3.18
"Mar 31, 2018",1.52
"Apr 30, 2018",1.27
"May 31, 2018",7.27
"Jun 30, 2018",1.20
"Jul 31, 2018",-0.04
"Aug 31, 2018",4.35
"Sep 30, 2018",-3.32
"Oct 31, 2018",-10.93
"Nov 30, 2018",-0.58
"Dec 31, 2018",-12.12
"Jan 31, 2019",10.46
"Feb 28, 2019",5.53
"Mar 31, 2019",-3.02
"Apr 30, 2019",1.93
"May 31, 2019",-6.82
"Jun 30, 2019",6.23
"Jul 31, 2019",-1.26
"Aug 31, 2019",-6.30
"Sep 30, 2019",2.32
"Oct 31, 2019",2.62
"Nov 30, 2019",4.58
"Dec 31, 2019",5.68
"Jan 31, 2020",-4.71
"Feb 29, 2020",-6.87
"Mar 31, 2020",-23.52
"Apr 30, 2020",15.21
"May 31, 2020",6.58
"Jun 30, 2020",6.20
"Jul 31, 2020",1.14
"Aug 31, 2020",5.97
"Sep 30, 2020",-3.21
"Oct 31, 2020",1.36
"Nov 30, 2020",20.36
"Dec 31, 2020",7.73
"Jan 31, 2021",14.24
"Feb 28, 2021",6.04
"Mar 31, 2021",2.26
"Apr 30, 2021",0.24
"May 31, 2021",1.61
"Jun 30, 2021",2.07
"Jul 31, 2021",-5.56
"Aug 31, 2021",3.57
"Sep 30, 2021",-2.97
"Oct 31, 2021",2.18
"Nov 30, 2021",-5.29
"Dec 31, 2021",0.48
"Jan 31, 2022",-9.80
"Feb 28, 2022",1.00
"Mar 31, 2022",1.36
"Apr 30, 2022",-10.38
"May 31, 2022",-0.42
"Jun 30, 2022",-9.25
"Jul 31, 2022",10.00
"Aug 31, 2022",0.18
"Sep 30, 2022",-9.66
"Oct 31, 2022",9.45
"Nov 30, 2022",-0.10
"Dec 31, 2022",-4.31
"Jan 31, 2023",9.95
"Feb 28, 2023",-2.92
"Mar 31, 2023",-8.91
"Apr 30, 2023",-2.61
"May 31, 2023",1.37
"Jun 30, 2023",6.52
"Jul 31, 2023",5.32
"Aug 31, 2023",-6.69
"Sep 30, 2023",-6.40
"Oct 31, 2023",-7.22
"Nov 30, 2023",9.44
"Dec 31, 2023",14.24
"Jan 31, 2024",-3.90
"Feb 29, 2024",6.22
"Mar 31, 2024",2.48
