Month End Date,Monthly Total (NAV) Return
"Jul 31, 2001",--
"Aug 31, 2001",-3.87
"Sep 30, 2001",-12.07
"Oct 31, 2001",3.97
"Nov 30, 2001",8.35
"Dec 31, 2001",3.98
"Jan 31, 2002",-0.61
"Feb 28, 2002",-1.08
"Mar 31, 2002",6.01
"Apr 30, 2002",-1.96
"May 31, 2002",-1.16
"Jun 30, 2002",-6.68
"Jul 31, 2002",-9.67
"Aug 31, 2002",0.54
"Sep 30, 2002",-9.24
"Oct 31, 2002",5.05
"Nov 30, 2002",6.91
"Dec 31, 2002",-3.94
"Jan 31, 2003",-2.04
"Feb 28, 2003",-1.33
"Mar 31, 2003",0.96
"Apr 30, 2003",7.24
"May 31, 2003",9.12
"Jun 30, 2003",1.01
"Jul 31, 2003",3.27
"Aug 31, 2003",4.33
"Sep 30, 2003",-1.28
"Oct 31, 2003",7.60
"Nov 30, 2003",2.79
"Dec 31, 2003",2.98
"Jan 31, 2004",2.89
"Feb 29, 2004",2.13
"Mar 31, 2004",0.01
"Apr 30, 2004",-3.66
"May 31, 2004",2.45
"Jun 30, 2004",2.74
"Jul 31, 2004",-4.39
"Aug 31, 2004",0.41
"Sep 30, 2004",3.24
"Oct 31, 2004",2.69
"Nov 30, 2004",6.07
"Dec 31, 2004",4.23
"Jan 31, 2005",-2.49
"Feb 28, 2005",3.08
"Mar 31, 2005",-0.74
"Apr 30, 2005",-3.19
"May 31, 2005",4.78
"Jun 30, 2005",2.71
"Jul 31, 2005",5.26
"Aug 31, 2005",-0.68
"Sep 30, 2005",1.31
"Oct 31, 2005",-3.02
"Nov 30, 2005",4.41
"Dec 31, 2005",1.02
"Jan 31, 2006",5.14
"Feb 28, 2006",-0.14
"Mar 31, 2006",2.46
"Apr 30, 2006",0.67
"May 31, 2006",-3.38
"Jun 30, 2006",0.10
"Jul 31, 2006",-2.21
"Aug 31, 2006",2.52
"Sep 30, 2006",1.79
"Oct 31, 2006",3.90
"Nov 30, 2006",3.59
"Dec 31, 2006",-0.03
"Jan 31, 2007",3.36
"Feb 28, 2007",0.14
"Mar 31, 2007",0.78
"Apr 30, 2007",3.79
"May 31, 2007",3.76
"Jun 30, 2007",-2.26
"Jul 31, 2007",-3.74
"Aug 31, 2007",0.16
"Sep 30, 2007",3.28
"Oct 31, 2007",1.59
"Nov 30, 2007",-4.79
"Dec 31, 2007",-0.33
"Jan 31, 2008",-6.51
"Feb 29, 2008",-2.30
"Mar 31, 2008",-1.45
"Apr 30, 2008",6.74
"May 31, 2008",4.52
"Jun 30, 2008",-7.98
"Jul 31, 2008",-2.54
"Aug 31, 2008",1.84
"Sep 30, 2008",-12.22
"Oct 31, 2008",-22.32
"Nov 30, 2008",-10.17
"Dec 31, 2008",4.27
"Jan 31, 2009",-7.38
"Feb 28, 2009",-9.93
"Mar 31, 2009",9.13
"Apr 30, 2009",15.32
"May 31, 2009",4.33
"Jun 30, 2009",0.34
"Jul 31, 2009",8.83
"Aug 31, 2009",4.85
"Sep 30, 2009",5.65
"Oct 31, 2009",-4.41
"Nov 30, 2009",4.81
"Dec 31, 2009",5.66
"Jan 31, 2010",-3.36
"Feb 28, 2010",4.99
"Mar 31, 2010",7.04
"Apr 30, 2010",3.75
"May 31, 2010",-7.36
"Jun 30, 2010",-6.24
"Jul 31, 2010",7.16
"Aug 31, 2010",-4.40
"Sep 30, 2010",10.54
"Oct 31, 2010",3.85
"Nov 30, 2010",1.80
"Dec 31, 2010",6.89
"Jan 31, 2011",2.12
"Feb 28, 2011",3.79
"Mar 31, 2011",1.51
"Apr 30, 2011",2.98
"May 31, 2011",-0.42
"Jun 30, 2011",-2.08
"Jul 31, 2011",-3.64
"Aug 31, 2011",-6.89
"Sep 30, 2011",-9.62
"Oct 31, 2011",12.98
"Nov 30, 2011",-0.51
"Dec 31, 2011",-0.13
"Jan 31, 2012",6.04
"Feb 29, 2012",4.13
"Mar 31, 2012",2.23
"Apr 30, 2012",-0.33
"May 31, 2012",-6.71
"Jun 30, 2012",2.80
"Jul 31, 2012",0.22
"Aug 31, 2012",3.14
"Sep 30, 2012",2.11
"Oct 31, 2012",-1.02
"Nov 30, 2012",1.62
"Dec 31, 2012",2.25
"Jan 31, 2013",6.81
"Feb 28, 2013",1.41
"Mar 31, 2013",4.23
"Apr 30, 2013",1.26
"May 31, 2013",2.13
"Jun 30, 2013",-1.21
"Jul 31, 2013",5.77
"Aug 31, 2013",-2.67
"Sep 30, 2013",4.56
"Oct 31, 2013",3.52
"Nov 30, 2013",1.64
"Dec 31, 2013",2.96
"Jan 31, 2014",-1.96
"Feb 28, 2014",5.85
"Mar 31, 2014",-0.28
"Apr 30, 2014",-0.59
"May 31, 2014",2.20
"Jun 30, 2014",3.27
"Jul 31, 2014",-2.96
"Aug 31, 2014",4.81
"Sep 30, 2014",-3.34
"Oct 31, 2014",3.06
"Nov 30, 2014",2.55
"Dec 31, 2014",0.21
"Jan 31, 2015",-1.57
"Feb 28, 2015",5.52
"Mar 31, 2015",0.05
"Apr 30, 2015",-0.92
"May 31, 2015",1.45
"Jun 30, 2015",-2.08
"Jul 31, 2015",0.73
"Aug 31, 2015",-5.29
