Month End Date,Monthly Total (NAV) Return
"Jul 31, 2001",--
"Aug 31, 2001",-7.27
"Sep 30, 2001",-16.55
"Oct 31, 2001",10.48
"Nov 30, 2001",10.75
"Dec 31, 2001",3.78
"Jan 31, 2002",-3.28
"Feb 28, 2002",-5.67
"Mar 31, 2002",7.61
"Apr 30, 2002",-5.29
"May 31, 2002",-3.02
"Jun 30, 2002",-11.04
"Jul 31, 2002",-9.71
"Aug 31, 2002",-0.37
"Sep 30, 2002",-7.97
"Oct 31, 2002",7.72
"Nov 30, 2002",7.79
"Dec 31, 2002",-6.05
"Jan 31, 2003",-1.00
"Feb 28, 2003",-0.88
"Mar 31, 2003",1.85
"Apr 30, 2003",6.78
"May 31, 2003",9.61
"Jun 30, 2003",1.40
"Jul 31, 2003",3.55
"Aug 31, 2003",5.49
"Sep 30, 2003",-1.97
"Oct 31, 2003",8.03
"Nov 30, 2003",2.65
"Dec 31, 2003",1.08
"Jan 31, 2004",3.27
"Feb 29, 2004",1.66
"Mar 31, 2004",-0.21
"Apr 30, 2004",-2.84
"May 31, 2004",2.34
"Jun 30, 2004",1.57
"Jul 31, 2004",-6.66
"Aug 31, 2004",-1.26
"Sep 30, 2004",3.72
"Oct 31, 2004",3.33
"Nov 30, 2004",5.15
"Dec 31, 2004",4.78
"Jan 31, 2005",-2.71
"Feb 28, 2005",2.52
"Mar 31, 2005",-1.48
"Apr 30, 2005",-3.97
"May 31, 2005",5.70
"Jun 30, 2005",1.84
"Jul 31, 2005",5.83
"Aug 31, 2005",-0.64
"Sep 30, 2005",1.29
"Oct 31, 2005",-2.96
"Nov 30, 2005",5.40
"Dec 31, 2005",1.08
"Jan 31, 2006",6.02
"Feb 28, 2006",-1.25
"Mar 31, 2006",2.77
"Apr 30, 2006",0.41
"May 31, 2006",-4.73
"Jun 30, 2006",-0.43
"Jul 31, 2006",-3.59
"Aug 31, 2006",2.28
"Sep 30, 2006",2.25
"Oct 31, 2006",3.81
"Nov 30, 2006",3.91
"Dec 31, 2006",-0.91
"Jan 31, 2007",3.61
"Feb 28, 2007",-0.23
"Mar 31, 2007",0.51
"Apr 30, 2007",4.37
"May 31, 2007",4.04
"Jun 30, 2007",-1.74
"Jul 31, 2007",-2.26
"Aug 31, 2007",0.53
"Sep 30, 2007",3.90
"Oct 31, 2007",2.53
"Nov 30, 2007",-4.40
"Dec 31, 2007",0.25
"Jan 31, 2008",-7.96
"Feb 29, 2008",-1.53
"Mar 31, 2008",-1.80
"Apr 30, 2008",7.24
"May 31, 2008",5.25
"Jun 30, 2008",-7.33
"Jul 31, 2008",-3.80
"Aug 31, 2008",0.88
"Sep 30, 2008",-15.27
"Oct 31, 2008",-21.95
"Nov 30, 2008",-10.25
"Dec 31, 2008",3.68
"Jan 31, 2009",-4.49
"Feb 28, 2009",-7.61
"Mar 31, 2009",9.48
"Apr 30, 2009",14.16
"May 31, 2009",5.13
"Jun 30, 2009",0.47
"Jul 31, 2009",7.88
"Aug 31, 2009",3.04
"Sep 30, 2009",5.71
"Oct 31, 2009",-4.01
"Nov 30, 2009",4.65
"Dec 31, 2009",6.16
"Jan 31, 2010",-4.02
"Feb 28, 2010",4.95
"Mar 31, 2010",6.82
"Apr 30, 2010",2.94
"May 31, 2010",-6.87
"Jun 30, 2010",-6.34
"Jul 31, 2010",6.84
"Aug 31, 2010",-4.32
"Sep 30, 2010",12.07
"Oct 31, 2010",3.89
"Nov 30, 2010",3.24
"Dec 31, 2010",6.21
"Jan 31, 2011",1.98
"Feb 28, 2011",4.02
"Mar 31, 2011",1.63
"Apr 30, 2011",3.60
"May 31, 2011",-0.36
"Jun 30, 2011",-1.59
"Jul 31, 2011",-3.77
"Aug 31, 2011",-6.84
"Sep 30, 2011",-10.06
"Oct 31, 2011",13.47
"Nov 30, 2011",-0.51
"Dec 31, 2011",-1.50
"Jan 31, 2012",7.23
"Feb 29, 2012",4.45
"Mar 31, 2012",2.19
