Month End Date,Monthly Total (NAV) Return
"Jul 31, 2001",--
"Aug 31, 2001",-1.85
"Sep 30, 2001",-9.56
"Oct 31, 2001",0.55
"Nov 30, 2001",6.97
"Dec 31, 2001",4.13
"Jan 31, 2002",0.97
"Feb 28, 2002",1.59
"Mar 31, 2002",5.11
"Apr 30, 2002",-0.09
"May 31, 2002",-0.17
"Jun 30, 2002",-4.50
"Jul 31, 2002",-9.65
"Aug 31, 2002",1.16
"Sep 30, 2002",-10.11
"Oct 31, 2002",3.15
"Nov 30, 2002",6.27
"Dec 31, 2002",-2.39
"Jan 31, 2003",-2.79
"Feb 28, 2003",-1.67
"Mar 31, 2003",0.32
"Apr 30, 2003",7.58
"May 31, 2003",8.76
"Jun 30, 2003",0.68
"Jul 31, 2003",3.10
"Aug 31, 2003",3.53
"Sep 30, 2003",-0.80
"Oct 31, 2003",7.31
"Nov 30, 2003",2.89
"Dec 31, 2003",4.29
"Jan 31, 2004",2.61
"Feb 29, 2004",2.46
"Mar 31, 2004",0.13
"Apr 30, 2004",-4.22
"May 31, 2004",2.54
"Jun 30, 2004",3.55
"Jul 31, 2004",-2.73
"Aug 31, 2004",1.59
"Sep 30, 2004",2.83
"Oct 31, 2004",2.24
"Nov 30, 2004",6.73
"Dec 31, 2004",3.85
"Jan 31, 2005",-2.36
"Feb 28, 2005",3.47
"Mar 31, 2005",-0.19
"Apr 30, 2005",-2.66
"May 31, 2005",4.12
"Jun 30, 2005",3.31
"Jul 31, 2005",4.75
"Aug 31, 2005",-0.75
"Sep 30, 2005",1.32
"Oct 31, 2005",-3.05
"Nov 30, 2005",3.51
"Dec 31, 2005",0.96
"Jan 31, 2006",4.31
"Feb 28, 2006",0.94
"Mar 31, 2006",2.16
"Apr 30, 2006",0.96
"May 31, 2006",-2.11
"Jun 30, 2006",0.58
"Jul 31, 2006",-0.57
"Aug 31, 2006",2.77
"Sep 30, 2006",1.25
"Oct 31, 2006",4.03
"Nov 30, 2006",3.21
"Dec 31, 2006",1.01
"Jan 31, 2007",3.06
"Feb 28, 2007",0.59
"Mar 31, 2007",1.12
"Apr 30, 2007",3.13
"May 31, 2007",3.42
"Jun 30, 2007",-2.83
"Jul 31, 2007",-5.58
"Aug 31, 2007",-0.32
"Sep 30, 2007",2.46
"Oct 31, 2007",0.36
"Nov 30, 2007",-5.31
"Dec 31, 2007",-1.11
"Jan 31, 2008",-4.55
"Feb 29, 2008",-3.30
"Mar 31, 2008",-1.03
"Apr 30, 2008",6.07
"May 31, 2008",3.53
"Jun 30, 2008",-8.90
"Jul 31, 2008",-1.14
"Aug 31, 2008",2.85
"Sep 30, 2008",-8.99
"Oct 31, 2008",-22.68
"Nov 30, 2008",-10.09
"Dec 31, 2008",4.87
"Jan 31, 2009",-10.32
"Feb 28, 2009",-12.45
"Mar 31, 2009",8.75
"Apr 30, 2009",16.64
"May 31, 2009",3.40
"Jun 30, 2009",0.21
"Jul 31, 2009",9.78
"Aug 31, 2009",6.59
"Sep 30, 2009",5.56
"Oct 31, 2009",-4.77
"Nov 30, 2009",4.96
"Dec 31, 2009",5.22
"Jan 31, 2010",-2.76
"Feb 28, 2010",5.01
"Mar 31, 2010",7.26
"Apr 30, 2010",4.46
"May 31, 2010",-7.81
"Jun 30, 2010",-6.13
"Jul 31, 2010",7.39
"Aug 31, 2010",-4.47
"Sep 30, 2010",9.23
"Oct 31, 2010",3.79
"Nov 30, 2010",0.50
"Dec 31, 2010",7.51
"Jan 31, 2011",2.22
"Feb 28, 2011",3.56
"Mar 31, 2011",1.42
"Apr 30, 2011",2.41
"May 31, 2011",-0.49
"Jun 30, 2011",-2.59
"Jul 31, 2011",-3.51
"Aug 31, 2011",-6.93
"Sep 30, 2011",-9.21
"Oct 31, 2011",12.52
"Nov 30, 2011",-0.53
"Dec 31, 2011",1.22
"Jan 31, 2012",4.91
"Feb 29, 2012",3.82
"Mar 31, 2012",2.24
"Apr 30, 2012",-0.69
"May 31, 2012",-6.04
"Jun 30, 2012",3.64
"Jul 31, 2012",0.54
"Aug 31, 2012",2.90
"Sep 30, 2012",2.21
"Oct 31, 2012",0.10
"Nov 30, 2012",1.11
"Dec 31, 2012",2.62
"Jan 31, 2013",7.40
"Feb 28, 2013",1.74
"Mar 31, 2013",4.46
"Apr 30, 2013",1.08
"May 31, 2013",1.71
"Jun 30, 2013",-1.19
"Jul 31, 2013",5.28
"Aug 31, 2013",-3.50
"Sep 30, 2013",4.17
"Oct 31, 2013",4.53
"Nov 30, 2013",1.04
"Dec 31, 2013",2.69
"Jan 31, 2014",-1.71
"Feb 28, 2014",5.38
"Mar 31, 2014",1.52
"Apr 30, 2014",0.41
"May 31, 2014",1.64
"Jun 30, 2014",3.45
"Jul 31, 2014",-2.93
"Aug 31, 2014",4.21
"Sep 30, 2014",-3.82
"Oct 31, 2014",3.41
"Nov 30, 2014",1.77
"Dec 31, 2014",0.73
"Jan 31, 2015",-1.44
"Feb 28, 2015",4.07
"Mar 31, 2015",-0.19
"Apr 30, 2015",-1.16
"May 31, 2015",1.76
"Jun 30, 2015",-2.58
"Jul 31, 2015",-0.15
"Aug 31, 2015",-4.75
"Sep 30, 2015",-3.35
"Oct 31, 2015",6.09
"Nov 30, 2015",0.30
"Dec 31, 2015",-3.11
"Jan 31, 2016",-5.53
"Feb 29, 2016",0.68
"Mar 31, 2016",9.21
"Apr 30, 2016",2.11
"May 31, 2016",1.61
"Jun 30, 2016",0.88
"Jul 31, 2016",4.23
"Aug 31, 2016",-0.25
"Sep 30, 2016",0.41
"Oct 31, 2016",-2.45
"Nov 30, 2016",6.23
"Dec 31, 2016",1.76
"Jan 31, 2017",1.67
"Feb 28, 2017",2.78
"Mar 31, 2017",-0.75
"Apr 30, 2017",0.17
"May 31, 2017",-0.32
"Jun 30, 2017",1.46
"Jul 31, 2017",1.31
"Aug 31, 2017",-1.89
"Sep 30, 2017",2.71
"Oct 31, 2017",0.79
"Nov 30, 2017",3.36
"Dec 31, 2017",1.22
"Jan 31, 2018",2.28
"Feb 28, 2018",-4.94
"Mar 31, 2018",0.23
"Apr 30, 2018",0.47
"May 31, 2018",1.07
"Jun 30, 2018",0.79
"Jul 31, 2018",2.69
"Aug 31, 2018",1.34
"Sep 30, 2018",-0.80
"Oct 31, 2018",-7.22
"Nov 30, 2018",2.38
"Dec 31, 2018",-10.39
"Jan 31, 2019",10.27
"Feb 28, 2019",3.16
"Mar 31, 2019",0.48
"Apr 30, 2019",3.28
"May 31, 2019",-6.44
"Jun 30, 2019",6.74
"Jul 31, 2019",0.82
"Aug 31, 2019",-3.55
"Sep 30, 2019",4.04
"Oct 31, 2019",0.51
"Nov 30, 2019",2.65
"Dec 31, 2019",3.03
"Jan 31, 2020",-1.96
"Feb 29, 2020",-9.92
"Mar 31, 2020",-22.70
"Apr 30, 2020",13.34
"May 31, 2020",4.62
"Jun 30, 2020",1.11
"Jul 31, 2020",4.72
"Aug 31, 2020",3.93
"Sep 30, 2020",-2.28
"Oct 31, 2020",0.91
"Nov 30, 2020",14.01
"Dec 31, 2020",4.61
"Jan 31, 2021",-0.24
"Feb 28, 2021",7.72
"Mar 31, 2021",5.14
"Apr 30, 2021",4.82
"May 31, 2021",1.95
"Jun 30, 2021",-1.18
"Jul 31, 2021",0.60
"Aug 31, 2021",2.12
"Sep 30, 2021",-3.70
"Oct 31, 2021",5.31
"Nov 30, 2021",-3.06
"Dec 31, 2021",6.25
"Jan 31, 2022",-4.28
"Feb 28, 2022",-0.49
"Mar 31, 2022",3.02
"Apr 30, 2022",-5.96
"May 31, 2022",1.90
"Jun 30, 2022",-11.00
"Jul 31, 2022",8.59
"Aug 31, 2022",-3.07
"Sep 30, 2022",-9.71
"Oct 31, 2022",9.43
"Nov 30, 2022",6.31
"Dec 31, 2022",-5.10
"Jan 31, 2023",8.06
"Feb 28, 2023",-3.21
"Mar 31, 2023",-3.16
"Apr 30, 2023",-0.01
"May 31, 2023",-4.45
"Jun 30, 2023",8.65
"Jul 31, 2023",4.34
"Aug 31, 2023",-3.55
"Sep 30, 2023",-5.11
"Oct 31, 2023",-4.97
"Nov 30, 2023",9.41
"Dec 31, 2023",7.78
"Jan 31, 2024",-1.80
"Feb 29, 2024",4.76
"Mar 31, 2024",5.15
