Month End Date,Monthly Total (NAV) Return
"Jun 30, 2000",5.89
"Jul 31, 2000",-2.48
"Aug 31, 2000",8.82
"Sep 30, 2000",-2.74
"Oct 31, 2000",0.69
"Nov 30, 2000",-10.42
"Dec 31, 2000",12.31
"Jan 31, 2001",4.27
"Feb 28, 2001",-6.11
"Mar 31, 2001",-4.60
"Apr 30, 2001",7.57
"May 31, 2001",1.90
"Jun 30, 2001",3.56
"Jul 31, 2001",-1.60
"Aug 31, 2001",-2.30
"Sep 30, 2001",-13.52
"Oct 31, 2001",5.31
"Nov 30, 2001",7.30
"Dec 31, 2001",6.74
"Jan 31, 2002",0.86
"Feb 28, 2002",-1.72
"Mar 31, 2002",7.87
"Apr 30, 2002",2.82
"May 31, 2002",-4.15
"Jun 30, 2002",-5.18
"Jul 31, 2002",-14.13
"Aug 31, 2002",0.94
"Sep 30, 2002",-6.12
"Oct 31, 2002",3.18
"Nov 30, 2002",5.19
"Dec 31, 2002",-3.39
"Jan 31, 2003",-3.46
"Feb 28, 2003",-3.22
"Mar 31, 2003",0.78
"Apr 30, 2003",8.09
"May 31, 2003",8.05
"Jun 30, 2003",2.58
"Jul 31, 2003",5.20
"Aug 31, 2003",4.85
"Sep 30, 2003",-2.95
"Oct 31, 2003",8.66
"Nov 30, 2003",3.78
"Dec 31, 2003",1.76
"Jan 31, 2004",2.87
"Feb 29, 2004",1.91
"Mar 31, 2004",1.28
"Apr 30, 2004",-3.32
"May 31, 2004",1.53
"Jun 30, 2004",5.52
"Jul 31, 2004",-5.49
"Aug 31, 2004",-0.90
"Sep 30, 2004",5.26
"Oct 31, 2004",1.84
"Nov 30, 2004",8.52
"Dec 31, 2004",2.19
"Jan 31, 2005",-2.27
"Feb 28, 2005",2.84
"Mar 31, 2005",-2.59
"Apr 30, 2005",-5.59
"May 31, 2005",6.60
"Jun 30, 2005",3.23
"Jul 31, 2005",6.02
"Aug 31, 2005",-1.49
"Sep 30, 2005",0.87
"Oct 31, 2005",-3.13
"Nov 30, 2005",4.57
"Dec 31, 2005",-0.94
"Jan 31, 2006",8.36
"Feb 28, 2006",-0.77
"Mar 31, 2006",4.89
"Apr 30, 2006",-0.03
"May 31, 2006",-4.57
"Jun 30, 2006",-0.01
"Jul 31, 2006",-3.45
"Aug 31, 2006",1.70
"Sep 30, 2006",0.89
"Oct 31, 2006",4.96
"Nov 30, 2006",2.77
