Month End Date,Monthly Total (NAV) Return
"Aug 31, 2000",9.27
"Sep 30, 2000",-9.22
"Oct 31, 2000",-4.92
"Nov 30, 2000",-14.96
"Dec 31, 2000",-2.64
"Jan 31, 2001",6.99
"Feb 28, 2001",-16.75
"Mar 31, 2001",-10.74
"Apr 30, 2001",12.58
"May 31, 2001",-1.18
"Jun 30, 2001",-2.00
"Jul 31, 2001",-2.93
"Aug 31, 2001",-8.06
"Sep 30, 2001",-10.41
"Oct 31, 2001",5.25
"Nov 30, 2001",9.50
"Dec 31, 2001",0.20
"Jan 31, 2002",-1.88
"Feb 28, 2002",-4.32
"Mar 31, 2002",3.75
"Apr 30, 2002",-7.76
"May 31, 2002",-2.67
"Jun 30, 2002",-9.21
"Jul 31, 2002",-6.19
"Aug 31, 2002",0.26
"Sep 30, 2002",-10.20
"Oct 31, 2002",8.87
"Nov 30, 2002",5.69
"Dec 31, 2002",-6.90
"Jan 31, 2003",-2.47
"Feb 28, 2003",-0.64
"Mar 31, 2003",1.82
"Apr 30, 2003",7.53
"May 31, 2003",5.35
"Jun 30, 2003",1.40
"Jul 31, 2003",2.86
"Aug 31, 2003",2.66
"Sep 30, 2003",-1.20
"Oct 31, 2003",5.81
"Nov 30, 2003",1.22
"Dec 31, 2003",3.19
"Jan 31, 2004",2.25
"Feb 29, 2004",0.57
"Mar 31, 2004",-1.71
"Apr 30, 2004",-1.47
"May 31, 2004",1.84
"Jun 30, 2004",1.40
"Jul 31, 2004",-5.94
"Aug 31, 2004",-0.66
"Sep 30, 2004",1.29
"Oct 31, 2004",1.61
"Nov 30, 2004",3.85
"Dec 31, 2004",3.85
"Jan 31, 2005",-3.46
"Feb 28, 2005",1.09
"Mar 31, 2005",-2.01
"Apr 30, 2005",-2.32
"May 31, 2005",4.98
"Jun 30, 2005",-0.08
"Jul 31, 2005",5.04
"Aug 31, 2005",-1.32
"Sep 30, 2005",0.49
"Oct 31, 2005",-1.24
"Nov 30, 2005",4.40
"Dec 31, 2005",-0.31
"Jan 31, 2006",2.44
"Feb 28, 2006",-0.21
"Mar 31, 2006",1.76
"Apr 30, 2006",-0.19
"May 31, 2006",-3.74
"Jun 30, 2006",-0.37
"Jul 31, 2006",-2.21
"Aug 31, 2006",3.08
"Sep 30, 2006",2.54
"Oct 31, 2006",3.75
"Nov 30, 2006",1.98
"Dec 31, 2006",0.28
"Jan 31, 2007",2.50
"Feb 28, 2007",-1.78
"Mar 31, 2007",0.57
"Apr 30, 2007",4.50
"May 31, 2007",3.65
"Jun 30, 2007",-1.42
"Jul 31, 2007",-1.86
"Aug 31, 2007",1.65
"Sep 30, 2007",4.05
"Oct 31, 2007",3.48
"Nov 30, 2007",-3.94
"Dec 31, 2007",-0.31
"Jan 31, 2008",-7.92
"Feb 29, 2008",-2.11
"Mar 31, 2008",-0.64
"Apr 30, 2008",5.22
"May 31, 2008",3.78
"Jun 30, 2008",-7.10
"Jul 31, 2008",-1.60
"Aug 31, 2008",1.18
"Sep 30, 2008",-11.54
"Oct 31, 2008",-17.91
"Nov 30, 2008",-8.27
"Dec 31, 2008",2.06
"Jan 31, 2009",-5.02
"Feb 28, 2009",-7.74
"Mar 31, 2009",8.89
"Apr 30, 2009",9.94
"May 31, 2009",4.87
"Jun 30, 2009",1.24
"Jul 31, 2009",7.14
"Aug 31, 2009",1.97
"Sep 30, 2009",4.39
"Oct 31, 2009",-1.80
"Nov 30, 2009",5.90
"Dec 31, 2009",3.45
"Jan 31, 2010",-4.37
"Feb 28, 2010",3.49
"Mar 31, 2010",5.90
"Apr 30, 2010",1.35
"May 31, 2010",-7.56
"Jun 30, 2010",-5.60
"Jul 31, 2010",7.06
"Aug 31, 2010",-4.89
"Sep 30, 2010",10.87
"Oct 31, 2010",4.72
"Nov 30, 2010",1.39
"Dec 31, 2010",5.65
"Jan 31, 2011",2.26
"Feb 28, 2011",3.46
"Mar 31, 2011",0.41
"Apr 30, 2011",3.34
"May 31, 2011",-1.19
"Jun 30, 2011",-1.50
"Jul 31, 2011",-1.26
"Aug 31, 2011",-5.59
"Sep 30, 2011",-7.69
"Oct 31, 2011",11.31
"Nov 30, 2011",-0.06
"Dec 31, 2011",-0.33
