Month End Date,Monthly Total (NAV) Return
"Aug 31, 2000",5.46
"Sep 30, 2000",0.75
"Oct 31, 2000",2.26
"Nov 30, 2000",-3.64
"Dec 31, 2000",5.34
"Jan 31, 2001",0.52
"Feb 28, 2001",-2.64
"Mar 31, 2001",-3.40
"Apr 30, 2001",4.87
"May 31, 2001",2.22
"Jun 30, 2001",-1.79
"Jul 31, 2001",-0.36
"Aug 31, 2001",-3.77
"Sep 30, 2001",-7.32
"Oct 31, 2001",-0.74
"Nov 30, 2001",5.89
"Dec 31, 2001",2.59
"Jan 31, 2002",-0.64
"Feb 28, 2002",0.17
"Mar 31, 2002",4.91
"Apr 30, 2002",-2.91
"May 31, 2002",0.20
"Jun 30, 2002",-5.50
"Jul 31, 2002",-9.65
"Aug 31, 2002",0.64
"Sep 30, 2002",-10.83
"Oct 31, 2002",6.95
"Nov 30, 2002",6.32
"Dec 31, 2002",-4.33
"Jan 31, 2003",-2.47
"Feb 28, 2003",-2.74
"Mar 31, 2003",0.21
"Apr 30, 2003",8.80
"May 31, 2003",6.68
"Jun 30, 2003",1.26
"Jul 31, 2003",1.75
"Aug 31, 2003",1.70
"Sep 30, 2003",-1.00
"Oct 31, 2003",6.23
"Nov 30, 2003",1.54
"Dec 31, 2003",5.93
"Jan 31, 2004",1.87
"Feb 29, 2004",2.11
"Mar 31, 2004",-0.72
"Apr 30, 2004",-2.66
"May 31, 2004",1.00
"Jun 30, 2004",2.56
"Jul 31, 2004",-1.69
"Aug 31, 2004",1.35
"Sep 30, 2004",1.74
"Oct 31, 2004",1.63
"Nov 30, 2004",5.33
"Dec 31, 2004",3.24
"Jan 31, 2005",-1.97
"Feb 28, 2005",3.19
"Mar 31, 2005",-1.44
"Apr 30, 2005",-2.10
"May 31, 2005",2.69
"Jun 30, 2005",1.36
"Jul 31, 2005",3.13
"Aug 31, 2005",-0.60
"Sep 30, 2005",1.24
"Oct 31, 2005",-2.55
"Nov 30, 2005",3.31
"Dec 31, 2005",0.48
"Jan 31, 2006",4.23
"Feb 28, 2006",0.54
"Mar 31, 2006",1.64
"Apr 30, 2006",2.31
"May 31, 2006",-2.69
"Jun 30, 2006",0.66
"Jul 31, 2006",2.06
"Aug 31, 2006",1.76
"Sep 30, 2006",1.88
"Oct 31, 2006",3.40
"Nov 30, 2006",2.31
"Dec 31, 2006",2.11
"Jan 31, 2007",1.29
"Feb 28, 2007",-1.53
"Mar 31, 2007",1.50
"Apr 30, 2007",3.43
"May 31, 2007",3.59
"Jun 30, 2007",-2.34
"Jul 31, 2007",-4.97
"Aug 31, 2007",1.17
"Sep 30, 2007",3.17
"Oct 31, 2007",0.08
"Nov 30, 2007",-5.10
"Dec 31, 2007",-0.98
"Jan 31, 2008",-4.01
"Feb 29, 2008",-4.19
"Mar 31, 2008",-0.59
"Apr 30, 2008",4.71
"May 31, 2008",0.10
"Jun 30, 2008",-9.55
"Jul 31, 2008",0.06
"Aug 31, 2008",1.93
"Sep 30, 2008",-7.11
"Oct 31, 2008",-17.50
"Nov 30, 2008",-7.52
"Dec 31, 2008",1.75
"Jan 31, 2009",-11.68
"Feb 28, 2009",-13.37
"Mar 31, 2009",8.57
"Apr 30, 2009",11.08
"May 31, 2009",5.84
"Jun 30, 2009",-0.69
"Jul 31, 2009",8.43
"Aug 31, 2009",5.17
"Sep 30, 2009",3.93
"Oct 31, 2009",-3.36
"Nov 30, 2009",5.41
"Dec 31, 2009",2.18
"Jan 31, 2010",-2.84
"Feb 28, 2010",3.26
"Mar 31, 2010",6.61
"Apr 30, 2010",2.94
"May 31, 2010",-8.24
"Jun 30, 2010",-5.87
"Jul 31, 2010",6.77
"Aug 31, 2010",-4.54
"Sep 30, 2010",7.96
"Oct 31, 2010",3.05
"Nov 30, 2010",-0.32
"Dec 31, 2010",7.90
"Jan 31, 2011",2.05
"Feb 28, 2011",3.78
"Mar 31, 2011",0.46
"Apr 30, 2011",2.56
"May 31, 2011",-1.14
"Jun 30, 2011",-2.10
"Jul 31, 2011",-3.33
"Aug 31, 2011",-6.47
"Sep 30, 2011",-7.81
"Oct 31, 2011",11.60
"Nov 30, 2011",-0.51
"Dec 31, 2011",1.96
"Jan 31, 2012",3.98
"Feb 29, 2012",3.76
"Mar 31, 2012",2.96
"Apr 30, 2012",-1.07
"May 31, 2012",-5.89
"Jun 30, 2012",4.93
"Jul 31, 2012",0.86
"Aug 31, 2012",2.22
"Sep 30, 2012",3.18
"Oct 31, 2012",-0.57
"Nov 30, 2012",-0.04
"Dec 31, 2012",2.21
"Jan 31, 2013",6.42
"Feb 28, 2013",1.39
"Mar 31, 2013",3.96
"Apr 30, 2013",1.36
"May 31, 2013",2.57
"Jun 30, 2013",-0.87
"Jul 31, 2013",5.46
"Aug 31, 2013",-3.84
"Sep 30, 2013",2.75
"Oct 31, 2013",4.25
"Nov 30, 2013",2.86
"Dec 31, 2013",2.45
"Jan 31, 2014",-3.59
"Feb 28, 2014",4.31
"Mar 31, 2014",2.27
"Apr 30, 2014",0.65
"May 31, 2014",1.38
