Month End Date,Monthly Total (NAV) Return
"Nov 30, 2000",-7.03
"Dec 31, 2000",-1.45
"Jan 31, 2001",4.22
"Feb 28, 2001",-10.31
"Mar 31, 2001",-7.59
"Apr 30, 2001",9.16
"May 31, 2001",0.23
"Jun 30, 2001",-2.16
"Jul 31, 2001",-1.50
"Aug 31, 2001",-7.04
"Sep 30, 2001",-7.59
"Oct 31, 2001",2.21
"Nov 30, 2001",7.54
"Dec 31, 2001",0.02
"Jan 31, 2002",-1.76
"Feb 28, 2002",-1.78
"Mar 31, 2002",2.79
"Apr 30, 2002",-7.80
"May 31, 2002",-0.47
"Jun 30, 2002",-7.24
"Jul 31, 2002",-6.29
"Aug 31, 2002",0.57
"Sep 30, 2002",-11.45
"Oct 31, 2002",10.92
"Nov 30, 2002",6.27
"Dec 31, 2002",-6.95
"Jan 31, 2003",-2.60
"Feb 28, 2003",-1.50
"Mar 31, 2003",1.03
"Apr 30, 2003",8.57
"May 31, 2003",3.98
"Jun 30, 2003",1.62
"Jul 31, 2003",1.93
"Aug 31, 2003",0.96
"Sep 30, 2003",-0.80
"Oct 31, 2003",4.46
"Nov 30, 2003",0.29
"Dec 31, 2003",5.94
"Jan 31, 2004",1.83
"Feb 29, 2004",0.92
"Mar 31, 2004",-2.26
"Apr 30, 2004",-1.76
"May 31, 2004",0.94
"Jun 30, 2004",1.75
"Jul 31, 2004",-2.79
"Aug 31, 2004",0.37
"Sep 30, 2004",-0.57
"Oct 31, 2004",1.19
"Nov 30, 2004",3.30
"Dec 31, 2004",3.36
"Jan 31, 2005",-1.74
"Feb 28, 2005",1.93
"Mar 31, 2005",-2.00
"Apr 30, 2005",-1.52
"May 31, 2005",2.34
"Jun 30, 2005",-1.00
"Jul 31, 2005",2.73
"Aug 31, 2005",-1.19
"Sep 30, 2005",0.53
"Oct 31, 2005",-1.68
"Nov 30, 2005",3.51
"Dec 31, 2005",-0.69
"Jan 31, 2006",1.65
"Feb 28, 2006",0.62
"Mar 31, 2006",1.32
"Apr 30, 2006",1.52
"May 31, 2006",-2.20
"Jun 30, 2006",-0.17
"Jul 31, 2006",1.67
"Aug 31, 2006",2.56
"Sep 30, 2006",3.09
"Oct 31, 2006",3.40
"Nov 30, 2006",1.73
"Dec 31, 2006",1.77
"Jan 31, 2007",1.07
"Feb 28, 2007",-3.16
"Mar 31, 2007",1.05
"Apr 30, 2007",4.82
"May 31, 2007",3.48
"Jun 30, 2007",-1.27
"Jul 31, 2007",-2.35
"Aug 31, 2007",1.98
"Sep 30, 2007",4.08
"Oct 31, 2007",1.48
"Nov 30, 2007",-4.20
"Dec 31, 2007",-0.76
"Jan 31, 2008",-6.06
"Feb 29, 2008",-4.31
"Mar 31, 2008",0.18
"Apr 30, 2008",4.55
"May 31, 2008",-0.03
"Jun 30, 2008",-8.89
"Jul 31, 2008",0.67
"Aug 31, 2008",1.42
"Sep 30, 2008",-7.62
"Oct 31, 2008",-14.59
"Nov 30, 2008",-6.42
"Dec 31, 2008",-0.04
"Jan 31, 2009",-9.14
"Feb 28, 2009",-10.57
"Mar 31, 2009",8.54
"Apr 30, 2009",7.78
"May 31, 2009",5.60
"Jun 30, 2009",0.66
"Jul 31, 2009",7.30
"Aug 31, 2009",3.40
"Sep 30, 2009",2.99
"Oct 31, 2009",-1.08
"Nov 30, 2009",6.12
"Dec 31, 2009",0.79
"Jan 31, 2010",-3.55
"Feb 28, 2010",2.46
"Mar 31, 2010",5.83
"Apr 30, 2010",1.12
"May 31, 2010",-8.51
"Jun 30, 2010",-5.00
"Jul 31, 2010",7.20
"Aug 31, 2010",-4.72
"Sep 30, 2010",8.29
"Oct 31, 2010",3.71
"Nov 30, 2010",-0.38
"Dec 31, 2010",6.93
"Jan 31, 2011",2.47
"Feb 28, 2011",3.13
"Mar 31, 2011",-0.43
"Apr 30, 2011",2.75
"May 31, 2011",-1.57
"Jun 30, 2011",-1.54
"Jul 31, 2011",-1.15
"Aug 31, 2011",-5.20
"Sep 30, 2011",-6.21
"Oct 31, 2011",9.91
"Nov 30, 2011",0.04
"Dec 31, 2011",1.69
"Jan 31, 2012",4.17
"Feb 29, 2012",4.59
"Mar 31, 2012",3.53
"Apr 30, 2012",-0.67
"May 31, 2012",-5.73
"Jun 30, 2012",4.55
"Jul 31, 2012",2.05
"Aug 31, 2012",1.98
"Sep 30, 2012",2.80
"Oct 31, 2012",-2.45
"Nov 30, 2012",0.29
"Dec 31, 2012",0.19
"Jan 31, 2013",4.51
"Feb 28, 2013",1.40
"Mar 31, 2013",3.32
"Apr 30, 2013",2.18
"May 31, 2013",2.32
"Jun 30, 2013",-1.65
"Jul 31, 2013",4.95
"Aug 31, 2013",-2.96
"Sep 30, 2013",2.47
"Oct 31, 2013",4.85
"Nov 30, 2013",3.19
"Dec 31, 2013",2.30
"Jan 31, 2014",-4.02
"Feb 28, 2014",3.90
"Mar 31, 2014",1.32
"Apr 30, 2014",1.09
"May 31, 2014",2.23
"Jun 30, 2014",1.62
"Jul 31, 2014",-0.61
"Aug 31, 2014",3.75
"Sep 30, 2014",-0.76
"Oct 31, 2014",1.78
"Nov 30, 2014",2.53
"Dec 31, 2014",-0.72
"Jan 31, 2015",-3.48
"Feb 28, 2015",5.96
"Mar 31, 2015",-2.41
"Apr 30, 2015",1.71
"May 31, 2015",1.32
"Jun 30, 2015",-1.79
"Jul 31, 2015",2.70
"Aug 31, 2015",-6.52
"Sep 30, 2015",-2.16
"Oct 31, 2015",9.41
"Nov 30, 2015",0.23
"Dec 31, 2015",-1.49
"Jan 31, 2016",-4.61
"Feb 29, 2016",-0.71
"Mar 31, 2016",6.34
"Apr 30, 2016",0.37
"May 31, 2016",1.66
"Jun 30, 2016",0.17
"Jul 31, 2016",3.78
"Aug 31, 2016",0.11
"Sep 30, 2016",-0.05
"Oct 31, 2016",-1.41
"Nov 30, 2016",2.96
"Dec 31, 2016",2.44
"Jan 31, 2017",1.44
"Feb 28, 2017",4.47
"Mar 31, 2017",0.06
"Apr 30, 2017",1.00
"May 31, 2017",1.03
"Jun 30, 2017",0.55
"Jul 31, 2017",2.12
"Aug 31, 2017",0.72
"Sep 30, 2017",1.78
"Oct 31, 2017",2.36
"Nov 30, 2017",3.00
"Dec 31, 2017",1.39
"Jan 31, 2018",5.89
"Feb 28, 2018",-3.72
"Mar 31, 2018",-3.60
"Apr 30, 2018",0.41
"May 31, 2018",2.70
"Jun 30, 2018",0.55
"Jul 31, 2018",4.10
"Aug 31, 2018",3.87
"Sep 30, 2018",0.67
"Oct 31, 2018",-6.48
"Nov 30, 2018",1.63
"Dec 31, 2018",-8.99
"Jan 31, 2019",7.16
"Feb 28, 2019",2.93
"Mar 31, 2019",2.39
"Apr 30, 2019",4.42
"May 31, 2019",-6.68
"Jun 30, 2019",6.88
"Jul 31, 2019",1.66
"Aug 31, 2019",-1.64
"Sep 30, 2019",1.87
"Oct 31, 2019",2.77
"Nov 30, 2019",3.86
"Dec 31, 2019",3.21
"Jan 31, 2020",0.45
"Feb 29, 2020",-8.27
"Mar 31, 2020",-10.31
"Apr 30, 2020",12.83
"May 31, 2020",4.11
"Jun 30, 2020",2.80
"Jul 31, 2020",5.59
"Aug 31, 2020",9.07
"Sep 30, 2020",-4.70
"Oct 31, 2020",-3.27
"Nov 30, 2020",10.22
"Dec 31, 2020",3.80
"Jan 31, 2021",-0.52
"Feb 28, 2021",1.41
"Mar 31, 2021",4.16
"Apr 30, 2021",5.58
"May 31, 2021",0.34
"Jun 30, 2021",3.23
"Jul 31, 2021",2.50
"Aug 31, 2021",3.48
"Sep 30, 2021",-4.82
"Oct 31, 2021",7.40
"Nov 30, 2021",-0.08
"Dec 31, 2021",3.72
"Jan 31, 2022",-4.57
"Feb 28, 2022",-3.90
"Mar 31, 2022",3.95
"Apr 30, 2022",-9.81
"May 31, 2022",-0.26
"Jun 30, 2022",-7.70
"Jul 31, 2022",9.39
"Aug 31, 2022",-4.49
"Sep 30, 2022",-9.50
"Oct 31, 2022",7.17
"Nov 30, 2022",5.21
"Dec 31, 2022",-6.40
"Jan 31, 2023",6.38
"Feb 28, 2023",-1.97
"Mar 31, 2023",5.55
"Apr 30, 2023",2.16
"May 31, 2023",2.45
"Jun 30, 2023",6.11
"Jul 31, 2023",3.35
"Aug 31, 2023",-1.14
"Sep 30, 2023",-4.87
"Oct 31, 2023",-1.52
"Nov 30, 2023",9.16
"Dec 31, 2023",3.85
"Jan 31, 2024",2.42
"Feb 29, 2024",5.61
"Mar 31, 2024",2.78
