Month End Date,Monthly Total (NAV) Return
"Aug 31, 2000",14.84
"Sep 30, 2000",-2.50
"Oct 31, 2000",-5.48
"Nov 30, 2000",-14.18
"Dec 31, 2000",4.99
"Jan 31, 2001",-0.02
"Feb 28, 2001",-8.23
"Mar 31, 2001",-10.86
"Apr 30, 2001",13.52
"May 31, 2001",2.71
"Jun 30, 2001",-0.98
"Jul 31, 2001",-3.00
"Aug 31, 2001",-4.58
"Sep 30, 2001",-13.80
"Oct 31, 2001",7.64
"Nov 30, 2001",8.87
"Dec 31, 2001",3.95
"Jan 31, 2002",-1.06
"Feb 28, 2002",-2.21
"Mar 31, 2002",6.86
"Apr 30, 2002",-2.61
"May 31, 2002",-1.65
"Jun 30, 2002",-9.28
"Jul 31, 2002",-9.00
"Aug 31, 2002",0.10
"Sep 30, 2002",-6.26
"Oct 31, 2002",4.64
"Nov 30, 2002",5.16
"Dec 31, 2002",-4.53
"Jan 31, 2003",-2.37
"Feb 28, 2003",-2.67
"Mar 31, 2003",2.01
"Apr 30, 2003",6.36
"May 31, 2003",6.74
"Jun 30, 2003",2.13
"Jul 31, 2003",4.09
"Aug 31, 2003",3.93
"Sep 30, 2003",-2.09
"Oct 31, 2003",6.90
"Nov 30, 2003",3.00
"Dec 31, 2003",-0.32
"Jan 31, 2004",1.68
"Feb 29, 2004",2.12
"Mar 31, 2004",0.63
"Apr 30, 2004",-2.70
"May 31, 2004",2.05
"Jun 30, 2004",1.43
"Jul 31, 2004",-5.01
"Aug 31, 2004",-1.26
"Sep 30, 2004",2.90
"Oct 31, 2004",2.43
"Nov 30, 2004",4.72
"Dec 31, 2004",4.36
"Jan 31, 2005",-2.35
"Feb 28, 2005",3.57
"Mar 31, 2005",-1.26
"Apr 30, 2005",-4.05
"May 31, 2005",6.09
"Jun 30, 2005",1.78
"Jul 31, 2005",4.88
"Aug 31, 2005",-1.13
"Sep 30, 2005",0.60
"Oct 31, 2005",-1.44
"Nov 30, 2005",5.58
"Dec 31, 2005",0.89
"Jan 31, 2006",5.71
"Feb 28, 2006",-1.71
"Mar 31, 2006",2.30
"Apr 30, 2006",0.64
"May 31, 2006",-5.10
"Jun 30, 2006",0.07
"Jul 31, 2006",-3.58
"Aug 31, 2006",0.72
"Sep 30, 2006",1.21
"Oct 31, 2006",3.70
"Nov 30, 2006",3.39
"Dec 31, 2006",-1.21
"Jan 31, 2007",3.92
