Month End Date,Monthly Total (NAV) Return
"Aug 31, 2000",7.12
"Sep 30, 2000",1.47
"Oct 31, 2000",-0.97
"Nov 30, 2000",0.11
"Dec 31, 2000",10.20
"Jan 31, 2001",4.41
"Feb 28, 2001",-3.32
"Mar 31, 2001",-4.41
"Apr 30, 2001",9.04
"May 31, 2001",2.03
"Jun 30, 2001",0.15
"Jul 31, 2001",-0.02
"Aug 31, 2001",-2.05
"Sep 30, 2001",-11.22
"Oct 31, 2001",1.61
"Nov 30, 2001",6.04
"Dec 31, 2001",6.32
"Jan 31, 2002",-0.09
"Feb 28, 2002",2.35
"Mar 31, 2002",7.37
"Apr 30, 2002",1.48
"May 31, 2002",-1.76
"Jun 30, 2002",-5.64
"Jul 31, 2002",-10.39
"Aug 31, 2002",0.86
"Sep 30, 2002",-9.83
"Oct 31, 2002",3.97
"Nov 30, 2002",6.39
"Dec 31, 2002",-3.73
"Jan 31, 2003",-3.48
"Feb 28, 2003",-2.13
"Mar 31, 2003",-0.35
"Apr 30, 2003",8.12
"May 31, 2003",9.73
"Jun 30, 2003",0.40
"Jul 31, 2003",2.98
"Aug 31, 2003",5.04
"Sep 30, 2003",-1.01
"Oct 31, 2003",8.17
"Nov 30, 2003",3.92
"Dec 31, 2003",3.56
"Jan 31, 2004",2.60
"Feb 29, 2004",2.62
"Mar 31, 2004",0.17
"Apr 30, 2004",-3.88
"May 31, 2004",2.07
"Jun 30, 2004",3.09
"Jul 31, 2004",-4.35
"Aug 31, 2004",0.68
"Sep 30, 2004",2.99
"Oct 31, 2004",0.80
"Nov 30, 2004",7.08
"Dec 31, 2004",3.92
"Jan 31, 2005",-2.77
"Feb 28, 2005",3.09
"Mar 31, 2005",-0.99
"Apr 30, 2005",-3.77
"May 31, 2005",5.93
"Jun 30, 2005",3.04
"Jul 31, 2005",5.60
"Aug 31, 2005",-1.15
"Sep 30, 2005",0.94
"Oct 31, 2005",-2.95
"Nov 30, 2005",4.11
"Dec 31, 2005",0.44
"Jan 31, 2006",6.22
"Feb 28, 2006",-0.03
"Mar 31, 2006",2.65
"Apr 30, 2006",2.08
"May 31, 2006",-4.01
"Jun 30, 2006",-0.06
"Jul 31, 2006",-2.25
"Aug 31, 2006",1.46
"Sep 30, 2006",0.19
"Oct 31, 2006",4.49
"Nov 30, 2006",3.04
"Dec 31, 2006",0.12
"Jan 31, 2007",3.31
"Feb 28, 2007",1.19
"Mar 31, 2007",1.04
"Apr 30, 2007",2.80
"May 31, 2007",4.33
"Jun 30, 2007",-2.70
"Jul 31, 2007",-4.89
"Aug 31, 2007",0.71
"Sep 30, 2007",1.71
"Oct 31, 2007",1.70
"Nov 30, 2007",-5.70
"Dec 31, 2007",-0.55
"Jan 31, 2008",-5.12
"Feb 29, 2008",-3.21
"Mar 31, 2008",-0.55
"Apr 30, 2008",7.30
"May 31, 2008",4.60
"Jun 30, 2008",-8.88
"Jul 31, 2008",-0.34
"Aug 31, 2008",2.09
"Sep 30, 2008",-8.54
"Oct 31, 2008",-21.72
"Nov 30, 2008",-8.85
"Dec 31, 2008",4.97
"Jan 31, 2009",-8.51
"Feb 28, 2009",-11.29
"Mar 31, 2009",8.34
"Apr 30, 2009",15.67
"May 31, 2009",1.90
"Jun 30, 2009",0.71
