Month End Date,Monthly Total (NAV) Return
"Mar 31, 2001",-5.17
"Apr 30, 2001",9.63
"May 31, 2001",1.11
"Jun 30, 2001",3.00
"Jul 31, 2001",-2.30
"Aug 31, 2001",-3.02
"Sep 30, 2001",-12.70
"Oct 31, 2001",6.19
"Nov 30, 2001",6.57
"Dec 31, 2001",6.29
"Jan 31, 2002",-0.15
"Feb 28, 2002",-3.11
"Mar 31, 2002",7.01
"Apr 30, 2002",1.43
"May 31, 2002",-4.57
"Jun 30, 2002",-5.98
"Jul 31, 2002",-11.97
"Aug 31, 2002",1.97
"Sep 30, 2002",-4.96
"Oct 31, 2002",4.31
"Nov 30, 2002",5.01
"Dec 31, 2002",-4.08
"Jan 31, 2003",-2.77
"Feb 28, 2003",-2.72
"Mar 31, 2003",1.89
"Apr 30, 2003",7.15
"May 31, 2003",6.75
"Jun 30, 2003",2.16
"Jul 31, 2003",5.49
"Aug 31, 2003",4.91
"Sep 30, 2003",-2.61
"Oct 31, 2003",8.40
"Nov 30, 2003",3.42
"Dec 31, 2003",0.73
"Jan 31, 2004",3.37
"Feb 29, 2004",1.42
"Mar 31, 2004",0.77
"Apr 30, 2004",-2.91
"May 31, 2004",1.81
"Jun 30, 2004",5.57
"Jul 31, 2004",-6.23
"Aug 31, 2004",-2.13
"Sep 30, 2004",5.61
"Oct 31, 2004",2.90
"Nov 30, 2004",7.95
"Dec 31, 2004",2.45
"Jan 31, 2005",-1.06
"Feb 28, 2005",2.64
"Mar 31, 2005",-3.28
"Apr 30, 2005",-5.70
"May 31, 2005",7.20
"Jun 30, 2005",2.58
"Jul 31, 2005",6.11
"Aug 31, 2005",-1.04
"Sep 30, 2005",1.47
"Oct 31, 2005",-3.52
"Nov 30, 2005",4.81
"Dec 31, 2005",-0.71
"Jan 31, 2006",7.43
"Feb 28, 2006",-1.36
"Mar 31, 2006",5.00
"Apr 30, 2006",-0.19
"May 31, 2006",-4.62
"Jun 30, 2006",-0.40
"Jul 31, 2006",-3.61
"Aug 31, 2006",0.68
"Sep 30, 2006",0.48
"Oct 31, 2006",4.40
"Nov 30, 2006",3.09
"Dec 31, 2006",-0.40
"Jan 31, 2007",1.99
"Feb 28, 2007",-0.11
"Mar 31, 2007",2.35
"Apr 30, 2007",2.51
"May 31, 2007",4.61
"Jun 30, 2007",-0.97
"Jul 31, 2007",-4.10
"Aug 31, 2007",2.77
"Sep 30, 2007",2.79
"Oct 31, 2007",2.54
"Nov 30, 2007",-7.83
"Dec 31, 2007",-0.50
"Jan 31, 2008",-6.00
"Feb 29, 2008",-2.32
"Mar 31, 2008",-0.28
"Apr 30, 2008",5.36
"May 31, 2008",4.65
"Jun 30, 2008",-6.18
"Jul 31, 2008",0.69
"Aug 31, 2008",3.66
"Sep 30, 2008",-8.45
"Oct 31, 2008",-20.76
"Nov 30, 2008",-11.15
"Dec 31, 2008",5.32
"Jan 31, 2009",-11.21
"Feb 28, 2009",-11.22
"Mar 31, 2009",8.08
"Apr 30, 2009",16.52
"May 31, 2009",2.52
"Jun 30, 2009",1.67
"Jul 31, 2009",9.31
"Aug 31, 2009",1.24
"Sep 30, 2009",5.88
"Oct 31, 2009",-5.09
"Nov 30, 2009",2.12
"Dec 31, 2009",9.13
"Jan 31, 2010",-4.10
"Feb 28, 2010",3.79
"Mar 31, 2010",7.78
"Apr 30, 2010",5.02
"May 31, 2010",-5.98
"Jun 30, 2010",-5.80
"Jul 31, 2010",5.99
"Aug 31, 2010",-7.12
"Sep 30, 2010",11.74
"Oct 31, 2010",4.61
"Nov 30, 2010",4.65
