Month End Date,Monthly Total (NAV) Return
"Aug 31, 2000",5.85
"Sep 30, 2000",-0.22
"Oct 31, 2000",0.58
"Nov 30, 2000",-6.62
"Dec 31, 2000",14.06
"Jan 31, 2001",7.93
"Feb 28, 2001",-4.23
"Mar 31, 2001",-4.16
"Apr 30, 2001",6.01
"May 31, 2001",2.51
"Jun 30, 2001",3.72
"Jul 31, 2001",-0.91
"Aug 31, 2001",-1.62
"Sep 30, 2001",-14.37
"Oct 31, 2001",4.38
"Nov 30, 2001",7.98
"Dec 31, 2001",7.20
"Jan 31, 2002",1.84
"Feb 28, 2002",-0.42
"Mar 31, 2002",8.66
"Apr 30, 2002",4.08
"May 31, 2002",-3.81
"Jun 30, 2002",-4.51
"Jul 31, 2002",-16.28
"Aug 31, 2002",-0.13
"Sep 30, 2002",-7.36
"Oct 31, 2002",1.98
"Nov 30, 2002",5.37
"Dec 31, 2002",-2.67
"Jan 31, 2003",-4.15
"Feb 28, 2003",-3.71
"Mar 31, 2003",-0.33
"Apr 30, 2003",9.02
"May 31, 2003",9.29
"Jun 30, 2003",2.93
"Jul 31, 2003",4.88
"Aug 31, 2003",4.80
"Sep 30, 2003",-3.29
"Oct 31, 2003",8.89
"Nov 30, 2003",4.11
"Dec 31, 2003",2.78
"Jan 31, 2004",2.37
"Feb 29, 2004",2.35
"Mar 31, 2004",1.73
"Apr 30, 2004",-3.69
"May 31, 2004",1.24
"Jun 30, 2004",5.45
"Jul 31, 2004",-4.77
"Aug 31, 2004",0.29
"Sep 30, 2004",4.92
"Oct 31, 2004",0.84
"Nov 30, 2004",9.06
"Dec 31, 2004",1.82
"Jan 31, 2005",-3.52
"Feb 28, 2005",3.07
"Mar 31, 2005",-1.90
"Apr 30, 2005",-5.49
"May 31, 2005",5.97
"Jun 30, 2005",3.90
"Jul 31, 2005",5.89
"Aug 31, 2005",-1.93
"Sep 30, 2005",0.25
"Oct 31, 2005",-2.77
"Nov 30, 2005",4.32
"Dec 31, 2005",-1.17
"Jan 31, 2006",9.23
"Feb 28, 2006",-0.20
"Mar 31, 2006",4.77
"Apr 30, 2006",0.12
"May 31, 2006",-4.57
